player_name,age,player_country,position,player_id
Kylian Mbappé Lottin,24,France,"ST, LW",1
Erling Braut Haaland,22,Norway,ST,2
Kevin De Bruyne,32,Belgium,"CM, CAM",3
Lionel Andrés Messi Cuccittini,36,Argentina,"CF, CAM",4
Karim Benzema,35,France,"CF, ST",5
Robert Lewandowski,34,Poland,ST,6
Harry Kane,29,England,ST,7
Cristiano Ronaldo dos Santos Aveiro,37,Portugal,ST,8
Virgil van Dijk,30,Netherlands,CB,9
Mohamed Salah Ghaly,30,Egypt,RW,10
Neymar da Silva Santos Júnior,29,Brazil,"LW, CAM",11
N'Golo Kanté,30,France,"CDM, CM",12
Sadio Mané,28,Senegal,LW,13
Eden Michael Hazard,28,Belgium,"LW, CF",14
Luka Modrić,33,Croatia,CM,15
Sergio Ramos García,32,Spain,CB,16
Luis Alberto Suárez Díaz,31,Uruguay,ST,17
Diego Roberto Godín Leal,32,Uruguay,CB,18
Toni Kroos,28,Germany,"CM, CDM",19
Gonzalo Gerardo Higuaín,29,Argentina,ST,20
Zlatan Ibrahimović,34,Sweden,ST,21
Gareth Frank Bale,26,Wales,RW,22
Jérôme Boateng,27,Germany,CB,23
Arjen Robben,31,Netherlands,"RM, LM, RW",24
