team_name,league_name,titles_won,team_id,league_id
Paris Saint Germain,Ligue 1,12,1,1
Manchester City,Premier League,10,2,2
Inter Miami,Major League Soccer,1,3,3
Al Ittihad,Saudi Pro League,9,4,4
FC Barcelona,La Liga,27,5,5
FC Bayern Munchen,Bundesliga,32,6,6
Real Madrid,La Liga,35,7,5
Manchester United,Premier League,13,8,2
Liverpool,Premier League,1,9,2
Tottenham Hotspur,Premier League,0,10,2
Chelsea,Premier League,5,11,2
Juventus,Serie A,36,12,7
Atletico Madrid,La Liga,11,13,5
Real Madrid,Champions League,15,7,8
FC Barcelona,Champions League,5,5,8
Liverpool,Champions League,6,9,8
Juventus,Champions League,2,12,8
Chelsea,Champions League,2,11,8
Manchester United,Champions League,3,8,8
FC Bayern Munchen,Champions League,6,6,8
Manchester City,Champions League,1,2,8
